,Address,Postcode,Size in m²,Rooms,Prize in €
0,"Apartment Pretoriusstraat 58 1


                       ", 1092 GJ ,85 ,3,"3,150"
0,"Apartment Van Spilbergenstraat 10 1


                       ", 1057 RG ,58 ,3,"1,700"
0,"Apartment Amstelveenseweg 864 I


                       ", 1081 JM ,42 ,2,"2,000"
0,"Apartment Nijenburg 70


                       ", 1081 GG ,85 ,3,"3,000"
0,"Apartment Bloemgracht 158 C


                       ", 1015 TT ,45 ,2,"2,150"
0,"Apartment Bolestein 268


                       ", 1081 EC ,88 ,3,"3,000"
0,"Apartment Ruysdaelstraat


                       ", 1071 XE ,55 ,2,"3,000"
0,"Apartment Kuipersstraat


                       ", 1073 ER ,40 ,2,"2,000"
0,"Apartment Marnixstraat 77 D


                       ", 1015 VD ,30 ,4,"5,000"
0,"Apartment Admiralengracht 113 A


                       ", 1057 ET ,14 ,3,"4,500"
0,"Apartment Daniël Stalpertstraat 28 A


                       ", 1072 XG ,91 ,4,"3,150"
0,, 1035 HJ ,91 ,3,"2,500"
0,"Apartment Herengracht


                       ", 1015 BB ,80 ,3,"4,200"
0,"Apartment Driekoningenstraat


                       ", 1016 AL ,93 ,3,"4,000"
0,"Apartment Amstelveenseweg 206 IV


                       ", 1075 XS ,55 ,3,"2,800"
0,"Apartment Haarlemmermeerstraat 68 2


                       ", 1058 KC ,75 ,5,"2,500"
0,"Apartment Jan Pieter Heijestraat 174 1


                       ", 1054 ML ,93 ,3,"3,500"
0,"Apartment Valeriusstraat


                       ", 1071 MN ,57 ,3,"2,200"
0,"Apartment Overtoom


                       ", 1054 HK ,15 ,3,"5,500"
0,"Apartment Brouwersgracht 248 K


                       ", 1013 HE ,60 ,2,"2,150"
0,"Apartment Kromme-Mijdrechtstraat


                       ", 1079 KR ,60 ,2,"3,500"
0,"Apartment Jisperveldstraat


                       ", 1024 AZ ,85 ,4,"3,000"
0,, 1054 KC ,50 ,2,"4,000"
0,, 1054 KD ,50 ,2,"3,050"
0,"Apartment Hemonystraat


                       ", 1074 BL ,75 ,2,"3,150"
0,"Apartment Van Baerlestraat


                       ", 1071 BD ,90 ,3,"4,200"
0,"Apartment Overschiestraat


                       ", 1062 HN ,65 ,3,"2,150"
0,"Apartment Overschiestraat


                       ", 1062 HN ,65 ,3,"2,150"
0,"Apartment Grote Ruwenberg


                       ", 1083 BS ,66 ,3,"2,350"
0,"Apartment Zaandijkstraat


                       ", 1013 VN ,50 ,2,"3,500"
0,"Apartment Ferdinand Bolstraat


                       ", 1072 LB ,65 ,2,"2,800"
0,"Apartment Wiborgeiland


                       ", 1014 ZC ,71 ,2,"3,150"
0,"Apartment Frans Halsstraat


                       ", 1072 BX ,50 ,2,"3,000"
0,"Apartment Nassaukade


                       ", 1054 AA ,53 ,5,"4,500"
