,Address,Postcode,Size in m²,Rooms,Prize in €,Price/Sqm,Latitude,Longitude,Status
399,Haarlemmerweg                       , 1051 KS ,75.0,3,3000.0,40.0,52.384.849,4.850.744,doubt
400,Herengracht                       , 1017 BX ,145.0,4,3500.0,24.13793103448276,52.365.048,4.898.317,doubt
401,Tweede Jan Steenstraat                       , 1074 CP ,59.0,3,4450.0,75.42372881355931,52.356.401,4.901.294,doubt
402,Fagelstraat 66 bv                       , 1052 GG ,97.0,3,5500.0,56.701030927835035,52.380.355,4.876.219,doubt
403,, 1082 AH ,189.0,7,9500.0,50.26455026455026,489.973,doubt,
404,Eerste Constantijn Huygensstraat                       , 1054 BS ,51.0,3,4000.0,78.43137254901961,52.362.854,48.753,success
405,Eendrachtstraat                       , 1078 XZ ,70.0,3,3000.0,42.857142857142854,52.345.101,4.889.051,success
406,Runstraat                       , 1016 GK ,59.0,2,3000.0,50.847457627118644,52.368.888,4.883.527,success
407,Witte de Withstraat                       , 1057 ZL ,57.0,3,3000.0,52.631578947368425,51.322.737,3.853.791,doubt
408,Van Heenvlietlaan 160                       , 1083 CM ,135.0,4,2950.0,21.85185185185185,52.327.514,4.882.211,doubt
